reference	Homo_sapiens	Gorilla_gorilla	Macaca_mulatta	Nomascus_leucogenys	Pan_troglodytes	Pongo_abelii
Homo_sapiens	ENSG00000171291	ENSGGOG00000001134_18011_P	ENSG00000171291-892-P	ENSG00000171291-873-M	gene33848	gene_ZNF439	
Homo_sapiens	ENSG00000164898	ENSG00000164898_664_P	ENSG00000164898-894-P	ENSG00000164898-874-P	gene16543	gene_FMC1	
Homo_sapiens	ENSG00000141642	ENSG00000141642-663-P	ENSMMUG00000003127	ENSNLEG00000011855	gene33151	gene_ELAC1	
Homo_sapiens	ENSG00000214575	ENSG00000214575_666_M	ENSMMUG00000011328	ENSNLEG00000011018	gene29091	gene_CPEB1	
Homo_sapiens	ENSG00000173262	ENSGGOG00000016813_12326_M	ENSMMUG00000000439	ENSNLEG00000005363	gene23908	gene_LOC112135750	
Homo_sapiens	ENSG00000006282	ENSGGOG00000003379_13220_M	ENSMMUG00000017252	ENSNLEG00000007743	gene32060	gene_SPATA20	
Homo_sapiens	ENSG00000197496	-	ENSMMUG00000016927	ENSNLEG00000006898	gene36133	gene_SLC2A10	
Homo_sapiens	ENSG00000135318	ENSGGOG00000000898_11152_P	ENSMMUG00000005442	ENSNLEG00000012805	gene13977	gene_NT5E	
Homo_sapiens	ENSG00000171116	ENSGGOG00000022734_11328_P	ENSMMUG00000002887	ENSNLEG00000013483	ENSG00000171116-947-P	gene_LOC100438616	
Homo_sapiens	ENSG00000188051	ENSG00000188051_672_M	ENSMMUG00000008991	ENSNLEG00000005784	gene34057	gene_TMEM221	
Homo_sapiens	ENSG00000146070	ENSGGOG00000013436_16947_M	ENSMMUG00000019254	ENSNLEG00000004467	gene13657	gene_PLA2G7	
Homo_sapiens	ENSG00000181036	-	ENSMMUG00000011335	ENSNLEG00000013276	gene2504	gene_LOC100446014	
Homo_sapiens	ENSG00000267952	ENSG00000267952-669-P	ENSMMUG00000043391	-	ENSG00000267952-763-P	-	
Homo_sapiens	ENSG00000147140	ENSG00000147140_676_P	ENSMMUG00000020481	ENSNLEG00000001278	-	gene_NONO	
Homo_sapiens	ENSG00000151239	ENSGGOG00000005679_17610_P	ENSMMUG00000006154	ENSNLEG00000017931	gene24667	gene_TWF1	
Homo_sapiens	ENSG00000172724	ENSG00000172724_677_P	ENSMMUG00000016531	ENSNLEG00000004787	gene18741	gene_CCL19	
Homo_sapiens	ENSG00000163736	ENSGGOG00000025133_6201_M	ENSMMUG00000042371	ENSNLEG00000007928	gene9404	gene_PPBP	
Homo_sapiens	ENSG00000161243	ENSG00000161243_680_M	ENSMMUG00000014544	ENSG00000161243-896-M	gene34501	gene_FBXO27	
Homo_sapiens	ENSG00000264324	ENSG00000264324-583-P	ENSG00000264324-960-M	ENSG00000264324-984-M	ENSG00000264324-962-M	ENSG00000264324-1004-P	
Homo_sapiens	ENSG00000138050	ENSG00000138050_682_P	ENSMMUG00000011841	ENSNLEG00000016562	gene4295	gene_THUMPD2	
Homo_sapiens	ENSG00000272772	ENSG00000272772-584-M	ENSG00000272772-964-M	ENSG00000272772-986-P	ENSG00000272772-964-M	ENSG00000272772-1009-M	
Homo_sapiens	ENSG00000147475	ENSG00000147475_685_M	ENSMMUG00000000943	ENSNLEG00000035437	gene17325	gene_ERLIN2	
Homo_sapiens	ENSG00000179057	-	ENSG00000179057-917-P	ENSNLEG00000017788	gene21930	gene_IGSF22	
Homo_sapiens	ENSG00000080819	ENSG00000080819_686_M	ENSG00000080819-918-M	ENSNLEG00000031110	gene7628	gene_CPOX	
Homo_sapiens	ENSG00000135114	ENSGGOG00000012123_404_M	ENSMMUG00000006441	ENSNLEG00000027642	gene25492	gene_OASL	
Homo_sapiens	ENSG00000182318	ENSGGOG00000042603_12759_P	ENSMMUG00000009311	ENSNLEG00000029434	gene35369	gene_ZSCAN22	
Homo_sapiens	ENSG00000204531	ENSG00000204531_689_M	ENSMMUG00000015688	ENSNLEG00000005802	gene13237	gene_POU5F1	
Homo_sapiens	ENSG00000087087	ENSG00000087087_691_M	ENSMMUG00000021255	ENSNLEG00000011987	gene16109	gene_SRRT	
Homo_sapiens	ENSG00000164619	ENSG00000164619_690_P	ENSMMUG00000017232	ENSNLEG00000015455	gene15285	gene_BMPER	
Homo_sapiens	ENSG00000254706	ENSG00000254706-591-P	ENSG00000254706-976-P	ENSG00000254706-995-M	ENSG00000254706-970-P	ENSG00000254706-1018-M	
Homo_sapiens	ENSG00000185716	ENSG00000185716_694_P	ENSMMUG00000010796	ENSNLEG00000032012	gene29826	gene_MOSMO	
Homo_sapiens	ENSG00000281348	-	-	-	-	-	
Homo_sapiens	ENSG00000147488	ENSG00000147488_695_P	ENSMMUG00000008439	ENSNLEG00000000678	gene17464	gene_ST18	
Homo_sapiens	ENSG00000187601	ENSG00000187601_697_P	ENSMMUG00000046259	ENSNLEG00000018484	gene38320	gene_MAGEH1	
Homo_sapiens	ENSG00000185100	ENSG00000185100_696_P	ENSMMUG00000016556	ENSNLEG00000016314	gene27902	gene_ADSSL1	
Homo_sapiens	ENSG00000254999	ENSG00000254999_698_P	ENSMMUG00000045652	-	gene6655	gene_BRK1	
Homo_sapiens	ENSG00000285635	-	-	-	-	-	
Homo_sapiens	ENSG00000086548	ENSG00000086548-691-P	ENSMMUG00000045522	ENSG00000086548-1006-P	gene34600	gene_CEACAM6	
Homo_sapiens	ENSG00000135763	ENSGGOG00000025643_9097_P	ENSMMUG00000009509	ENSNLEG00000014450	gene3526	gene_URB2	
Homo_sapiens	ENSG00000182272	ENSGGOG00000003798_19810_P	ENSMMUG00000021723	ENSNLEG00000008218	gene21465	gene_B4GALNT4	
Homo_sapiens	ENSG00000099999	ENSGGOG00000012657_2163_M	ENSMMUG00000042819	ENSNLEG00000027802	gene37272	gene_RNF215	
Homo_sapiens	ENSG00000162399	ENSGGOG00000005331_16129_P	ENSMMUG00000005735	ENSNLEG00000014589	gene1175	gene_BSND	
Homo_sapiens	ENSG00000167131	ENSGGOG00000034979_11641_P	ENSMMUG00000013117	ENSNLEG00000005200	gene31148	gene_CCDC103	
Homo_sapiens	ENSG00000161395	ENSGGOG00000001119_2771_M	ENSMMUG00000001347	ENSNLEG00000031012	gene31421	gene_PGAP3	
Homo_sapiens	ENSG00000085563	ENSGGOG00000001146_15693_P	ENSG00000085563-945-P	ENSNLEG00000014983	gene15893	gene_ABCB1	
Homo_sapiens	ENSG00000161091	-	ENSMMUG00000010653	ENSNLEG00000002687	gene33545	gene_MFSD12	
Homo_sapiens	ENSG00000105467	-	ENSMMUG00000013070	ENSNLEG00000004402	gene34820	gene_SYNGR4	
Homo_sapiens	ENSG00000108518	ENSG00000108518_710_M	ENSMMUG00000002772	ENSNLEG00000033439	gene30906	gene_PFN1	
Homo_sapiens	ENSG00000112029	ENSGGOG00000001606_14521_M	ENSMMUG00000019076	ENSNLEG00000015443	gene14651	gene_FBXO5	
Homo_sapiens	ENSG00000273167	ENSG00000273167-607-P	ENSG00000273167-1002-P	ENSG00000273167-1021-M	ENSG00000273167-994-P	ENSG00000273167-1041-P	
Homo_sapiens	ENSG00000196123	-	ENSMMUG00000020266	ENSNLEG00000004356	gene30253	gene_KIAA0895L	
Homo_sapiens	ENSG00000215187	ENSGGOG00000009029_13015_P	ENSMMUG00000016314	ENSNLEG00000004511	gene18765	gene_FAM166B	
Homo_sapiens	ENSG00000184481	ENSG00000184481_715_P	ENSMMUG00000032429	ENSNLEG00000001131	-	gene_FOXO4	
Homo_sapiens	ENSG00000213619	ENSGGOG00000014393_14196_P	ENSMMUG00000045281	ENSNLEG00000028559	gene22195	gene_NDUFS3	
Homo_sapiens	ENSG00000165935	ENSGGOG00000013445_2133_M	ENSMMUG00000021736	ENSNLEG00000005501	gene24791	gene_SMCO2	
Homo_sapiens	ENSG00000172967	ENSG00000172967_718_M	-	-	ENSG00000172967-816-P	gene_XKR3	
Homo_sapiens	ENSG00000163467	ENSGGOG00000008582_20152_P	ENSMMUG00000004369	ENSNLEG00000012582	gene2400	gene_TSACC	
Homo_sapiens	ENSG00000158220	-	ENSMMUG00000007757	ENSNLEG00000004209	gene8119	gene_ESYT3	
Homo_sapiens	ENSG00000179097	ENSG00000179097_721_P	ENSMMUG00000005238	ENSNLEG00000018632	gene7561	gene_HTR1F	
Homo_sapiens	ENSG00000205846	-	ENSMMUG00000013698	ENSG00000205846-944-M	gene23920	gene_CLEC6A	
Homo_sapiens	ENSG00000100836	-	-	ENSG00000100836-943-M	gene26794	ENSG00000100836-914-P	
Homo_sapiens	ENSG00000126756	ENSG00000126756_724_M	ENSMMUG00000018535	ENSNLEG00000028907	gene38143	gene_UXT	
Homo_sapiens	ENSG00000135454	ENSGGOG00000006301_935_P	ENSMMUG00000001182	ENSNLEG00000017250	gene24262	gene_B4GALNT1	
Homo_sapiens	ENSG00000134453	ENSG00000134453_726_P	ENSMMUG00000015152	ENSNLEG00000033350	gene19987	gene_RBM17	
Homo_sapiens	ENSG00000004455	ENSG00000004455_728_M	ENSMMUG00000006284	ENSNLEG00000003152	gene723	gene_AK2	
Homo_sapiens	ENSG00000136274	ENSGGOG00000000831_10_M	ENSMMUG00000042817	ENSNLEG00000027018	gene15445	gene_NACAD	
Homo_sapiens	ENSG00000173947	ENSGGOG00000008535_19798_P	ENSMMUG00000008859	ENSNLEG00000003881	gene1772	gene_PIFO	
Homo_sapiens	ENSG00000213420	ENSGGOG00000006843_7456_P	ENSG00000213420-969-M	-	gene16070	gene_GPC2	
Homo_sapiens	ENSG00000125462	ENSGGOG00000034972_18744_M	ENSMMUG00000017966	ENSNLEG00000012606	gene2402	gene_C1H1orf61	
Homo_sapiens	ENSG00000138964	ENSGGOG00000016486_17668_P	ENSMMUG00000014203	ENSNLEG00000015877	gene37596	gene_PARVG	
Homo_sapiens	ENSG00000215472	ENSG00000215472_733_M	-	ENSG00000215472-951-P	ENSG00000215472-831-M	ENSG00000215472-927-M	
Homo_sapiens	ENSG00000105136	ENSG00000105136_734_P	ENSMMUG00000014286	ENSNLEG00000010964	gene35329	gene_LOC100454655	
Homo_sapiens	ENSG00000167632	ENSGGOG00000037266_4170_M	ENSMMUG00000048066	ENSNLEG00000001396	gene18260	gene_TRAPPC9	
Homo_sapiens	ENSG00000151466	ENSG00000151466_736_M	ENSMMUG00000002146	ENSNLEG00000013945	gene10072	gene_SCLT1	
Homo_sapiens	ENSG00000129480	ENSGGOG00000043676_16495_P	ENSMMUG00000005655	ENSNLEG00000034317	gene26908	gene_DTD2	
Homo_sapiens	ENSG00000188993	ENSGGOG00000011068_973_P	ENSMMUG00000018939	ENSNLEG00000008139	gene9645	gene_LRRC66	
Homo_sapiens	ENSG00000160883	-	ENSMMUG00000002653	ENSNLEG00000012572	gene12257	gene_HK3	
Homo_sapiens	ENSG00000164076	ENSGGOG00000012251_3385_M	ENSMMUG00000016480	ENSNLEG00000006921	gene7194	gene_CAMKV	
Homo_sapiens	ENSG00000170209	-	-	ENSNLEG00000007308	gene23368	gene_ANKK1	
Homo_sapiens	ENSG00000168079	ENSG00000168079_742_M	ENSMMUG00000022044	ENSNLEG00000016553	gene17232	gene_SCARA5	
Homo_sapiens	ENSG00000185950	ENSGGOG00000015488_20842_M	ENSMMUG00000021790	ENSNLEG00000007913	gene26505	gene_IRS2	
Homo_sapiens	ENSG00000170091	ENSG00000170091-731-P	ENSMMUG00000011491	ENSNLEG00000000522	gene12217	gene_NSG2	
Homo_sapiens	ENSG00000206549	-	ENSG00000206549-1059-P	ENSG00000206549-1088-P	ENSG00000206549-1057-M	ENSG00000206549-1109-P	
Homo_sapiens	ENSG00000129071	ENSGGOG00000010698_8690_M	ENSMMUG00000012723	ENSNLEG00000005337	gene8011	gene_MBD4	
Homo_sapiens	ENSG00000164329	ENSG00000164329_749_M	ENSMMUG00000020731	ENSNLEG00000027224	gene10966	gene_PAPD4	
Homo_sapiens	ENSG00000213214	ENSG00000213214-649-P	-	ENSG00000213214-970-P	-	-	
Homo_sapiens	ENSG00000249662	ENSG00000249662_748_M	ENSMMUG00000045332	ENSG00000249662-971-P	gene10806	ENSG00000249662-947-P	
Homo_sapiens	ENSG00000156983	ENSG00000156983_750_P	ENSMMUG00000006116	ENSNLEG00000004094	gene6630	gene_BRPF1	
Homo_sapiens	ENSG00000047578	-	ENSMMUG00000015570	ENSNLEG00000011610	gene29949	gene_KIAA0556	
Homo_sapiens	ENSG00000214046	ENSG00000214046_752_M	-	ENSNLEG00000005569	ENSG00000214046-856-M	gene_SMIM7	
Homo_sapiens	ENSG00000108669	ENSGGOG00000010087_19515_P	ENSMMUG00000013313	ENSNLEG00000036300	gene32557	gene_CYTH1	
Homo_sapiens	ENSG00000119912	ENSG00000119912_753_M	ENSMMUG00000023267	ENSNLEG00000012631	gene20924	gene_IDE	
Homo_sapiens	ENSG00000172053	ENSGGOG00000014882_4053_M	ENSMMUG00000002943	ENSNLEG00000006772	gene7167	gene_QARS	
Homo_sapiens	ENSG00000243708	ENSG00000243708-740-M	ENSG00000243708-1005-P	ENSNLEG00000003854	gene40698	gene_PLA2G4B	
Homo_sapiens	ENSG00000163132	-	ENSG00000163132-1007-P	ENSNLEG00000016128	gene8928	gene_MSX1	
Homo_sapiens	ENSG00000228083	ENSG00000228083_758_P	ENSG00000228083-1011-P	ENSG00000228083-983-M	gene18596	gene_LOC100435169	
Homo_sapiens	ENSG00000214978	ENSGGOG00000008522_680_M	ENSMMUG00000018089	ENSG00000214978-986-P	gene31959	gene_GSG1L2	
Homo_sapiens	ENSG00000108759	ENSGGOG00000016863_19965_M	ENSMMUG00000018644	ENSNLEG00000010704	gene31329	gene_KRT32	
Homo_sapiens	ENSG00000070371	ENSGGOG00000006207_16505_M	ENSMMUG00000005432	ENSNLEG00000005221	gene36974	gene_CLTCL1	
Homo_sapiens	ENSG00000107014	ENSGGOG00000026430_18555_P	ENSMMUG00000047971	ENSNLEG00000008980	gene18463	gene_LOC100455286	
Homo_sapiens	ENSG00000167393	-	ENSMMUG00000005113	-	gene37718	gene_PPP2R3B	
Homo_sapiens	ENSG00000181562	ENSGGOG00000016754_19653_M	ENSG00000181562-1018-P	ENSG00000181562-990-M	gene26675	gene_LOC100458955	
Homo_sapiens	ENSG00000006047	ENSG00000006047-749-M	ENSG00000006047-1020-M	ENSNLEG00000008063	gene30987	gene_YBX2	
Homo_sapiens	ENSG00000038945	ENSGGOG00000025554_8181_M	ENSMMUG00000002296	ENSNLEG00000002324	gene17092	gene_MSR1	
Homo_sapiens	ENSG00000168813	-	ENSMMUG00000010840	ENSNLEG00000010854	gene34280	gene_ZNF507	
Homo_sapiens	ENSG00000158079	-	ENSMMUG00000002517	ENSNLEG00000016629	gene19171	gene_PTPDC1	
Homo_sapiens	ENSG00000184012	ENSGGOG00000004836_5359_M	ENSMMUG00000015332	ENSNLEG00000008677	gene36760	gene_TMPRSS2	
Homo_sapiens	ENSG00000177239	-	ENSMMUG00000008036	ENSNLEG00000008929	gene19862	gene_MAN1B1	
Homo_sapiens	ENSG00000053372	ENSGGOG00000000533_8464_P	ENSMMUG00000038335	ENSNLEG00000027896	gene362	gene_MRTO4	
Homo_sapiens	ENSG00000077063	-	ENSMMUG00000010297	ENSNLEG00000011717	gene16293	gene_CTTNBP2	
Homo_sapiens	ENSG00000183813	ENSG00000183813_773_P	ENSMMUG00000022661	ENSNLEG00000018532	gene6886	gene_CCR4	
Homo_sapiens	ENSG00000134443	ENSGGOG00000002670_16193_P	ENSMMUG00000007584	ENSNLEG00000008356	gene33225	gene_GRP	
Homo_sapiens	ENSG00000108691	ENSG00000108691_775_M	ENSMMUG00000000288	ENSNLEG00000001467	gene31582	gene_CCL2	
Homo_sapiens	ENSG00000170619	ENSGGOG00000041592_199_M	ENSMMUG00000011549	ENSNLEG00000019182	gene18401	gene_COMMD5	
Homo_sapiens	ENSG00000107147	-	ENSMMUG00000021496	ENSNLEG00000034583	gene19796	gene_KCNT1	
Homo_sapiens	ENSG00000145990	ENSG00000145990_778_M	ENSMMUG00000005407	ENSNLEG00000035697	gene12732	gene_LOC100460871	
Homo_sapiens	ENSG00000151632	ENSG00000151632_779_M	ENSMMUG00000023282	ENSNLEG00000011193	gene19955	gene_LOC100189776	
Homo_sapiens	ENSG00000121057	ENSGGOG00000011719_19337_M	ENSMMUG00000012644	ENSNLEG00000031371	gene32125	gene_AKAP1	
Homo_sapiens	ENSG00000131368	ENSG00000131368_781_M	ENSMMUG00000005157	ENSNLEG00000031537	gene6738	gene_MRPS25	
Homo_sapiens	ENSG00000126259	-	ENSMMUG00000017051	ENSNLEG00000011490	gene34392	gene_KIRREL2	
Homo_sapiens	ENSG00000013573	-	ENSMMUG00000022864	ENSNLEG00000002676	gene24761	gene_LOC100448472	
Homo_sapiens	ENSG00000155890	ENSGGOG00000010587_19249_P	ENSMMUG00000021392	ENSNLEG00000004507	gene8150	gene_TRIM42	
Homo_sapiens	ENSG00000158578	ENSGGOG00000002057_21807_M	ENSMMUG00000008429	ENSNLEG00000016328	gene38310	gene_ALAS2	
Homo_sapiens	ENSG00000165194	ENSGGOG00000001810_8801_M	ENSMMUG00000011078	ENSNLEG00000007503	gene38644	gene_PCDH19	
Homo_sapiens	ENSG00000159527	ENSGGOG00000000853_19796_M	ENSG00000159527-1056-M	ENSNLEG00000010380	gene2251	gene_PGLYRP3	
Homo_sapiens	ENSG00000120963	ENSG00000120963-779-M	ENSMMUG00000006943	ENSNLEG00000003260	gene17967	gene_ZNF706	
Homo_sapiens	ENSG00000124226	ENSG00000124226_788_P	ENSMMUG00000000757	ENSNLEG00000006984	gene36185	gene_RNF114	
Homo_sapiens	ENSG00000281938	-	ENSG00000281938-1128-M	ENSG00000281938-1166-M	ENSG00000281938-1137-M	ENSG00000281938-1193-M	
Homo_sapiens	ENSG00000259224	ENSG00000164729_2862_P	ENSMMUG00000023619	ENSNLEG00000009458	gene31005	gene_SLC35G6	
Homo_sapiens	ENSG00000182400	ENSG00000182400_791_P	ENSMMUG00000021027	ENSNLEG00000004056	gene26990	gene_TRAPPC6B	
Homo_sapiens	ENSG00000184677	-	ENSMMUG00000018618	ENSNLEG00000008268	gene452	gene_ZBTB40	
Homo_sapiens	ENSG00000175928	-	ENSMMUG00000000938	ENSNLEG00000003325	gene6588	gene_LRRN1	
Homo_sapiens	ENSG00000182162	-	ENSMMUG00000041242	ENSG00000182162-1042-M	gene37730	gene_P2RY8	
Homo_sapiens	ENSG00000139197	ENSGGOG00000003280_10942_P	ENSMMUG00000004242	ENSNLEG00000005190	gene23891	gene_PEX5	
Homo_sapiens	ENSG00000261611	ENSG00000261611-692-M	ENSG00000261611-1137-M	ENSG00000261611-1177-M	ENSG00000261611-1146-P	ENSG00000261611-1205-P	
Homo_sapiens	ENSG00000183814	ENSGGOG00000002125_11839_M	ENSMMUG00000016014	ENSNLEG00000013837	gene3449	gene_LIN9	
Homo_sapiens	ENSG00000005238	ENSGGOG00000003218_6187_P	ENSMMUG00000011862	ENSNLEG00000004530	gene18758	gene_FAM214B	
Homo_sapiens	ENSG00000234965	ENSGGOG00000036616_20676_M	ENSMMUG00000015101	ENSNLEG00000027977	gene37539	gene_SHISA8	
Homo_sapiens	ENSG00000204954	ENSGGOG00000016103_334_M	ENSMMUG00000031591	ENSNLEG00000006530	gene25236	gene_C12H12orf73	
Homo_sapiens	ENSG00000237110	-	ENSMMUG00000004992	-	-	gene_LOC100438479	
Homo_sapiens	ENSG00000134107	ENSG00000134107_803_P	ENSMMUG00000049018	ENSNLEG00000003704	gene6597	gene_BHLHE40	
Homo_sapiens	ENSG00000136824	-	ENSMMUG00000020463	ENSNLEG00000017156	gene19314	gene_SMC2	
Homo_sapiens	ENSG00000100122	ENSGGOG00000013639_5502_M	ENSMMUG00000023452	ENSNLEG00000034612	gene37205	gene_CRYBB1	
Homo_sapiens	ENSG00000164603	ENSGGOG00000027197_20292_M	ENSMMUG00000015547	ENSNLEG00000011360	gene16263	gene_BMT2	
Homo_sapiens	ENSG00000157600	ENSG00000157600_807_P	ENSMMUG00000022822	ENSNLEG00000014395	gene38779	gene_TMEM164	
Homo_sapiens	ENSG00000175544	ENSGGOG00000010025_13618_P	ENSMMUG00000005491	ENSNLEG00000006425	gene22806	gene_CABP4	
Homo_sapiens	ENSG00000160746	ENSGGOG00000014133_5163_M	ENSMMUG00000001029	ENSNLEG00000005909	gene7028	gene_ANO10	
Homo_sapiens	ENSG00000229665	ENSG00000229665-700-M	ENSG00000229665-1156-P	ENSG00000229665-1196-P	ENSG00000229665-1162-P	ENSG00000229665-1225-P	
Homo_sapiens	ENSG00000171791	ENSGGOG00000037403_18150_M	ENSMMUG00000037487	ENSNLEG00000035984	gene33268	gene_BCL2	
Homo_sapiens	ENSG00000121101	ENSGGOG00000011348_9212_P	ENSMMUG00000046572	ENSNLEG00000008317	gene32157	gene_TEX14	
Homo_sapiens	ENSG00000121691	ENSG00000121691_812_P	ENSMMUG00000002429	ENSNLEG00000017922	gene22062	gene_CAT	
Homo_sapiens	ENSG00000170540	ENSGGOG00000002902_10398_P	ENSMMUG00000005593	ENSNLEG00000027411	gene29768	gene_ARL6IP1	
Homo_sapiens	ENSG00000184983	ENSGGOG00000007905_2077_M	ENSMMUG00000013060	ENSNLEG00000015817	gene37550	gene_NDUFA6	
Homo_sapiens	ENSG00000146918	ENSGGOG00000001976_14934_M	ENSMMUG00000013719	ENSNLEG00000001335	gene16883	gene_NCAPG2	
Homo_sapiens	ENSG00000268994	ENSGGOG00000039205_5122_P	-	ENSNLEG00000029049	gene38471	gene_LOC112131056	
Homo_sapiens	ENSG00000196526	ENSGGOG00000015836_11007_M	ENSMMUG00000043581	ENSNLEG00000011850	gene8966	gene_AFAP1	
Homo_sapiens	ENSG00000130522	-	ENSMMUG00000038371	-	gene34088	gene_JUND	
Homo_sapiens	ENSG00000169851	ENSG00000169851_820_P	ENSMMUG00000011898	ENSNLEG00000030375	gene9130	gene_PCDH7	
Homo_sapiens	ENSG00000111605	ENSG00000111605_821_P	ENSMMUG00000002921	ENSNLEG00000003798	gene24891	gene_CPSF6	
Homo_sapiens	ENSG00000037280	ENSGGOG00000006749_16885_M	ENSMMUG00000018693	ENSNLEG00000002370	gene12350	gene_FLT4	
Homo_sapiens	ENSG00000283071	ENSGGOG00000044036_19563_P	ENSMMUG00000048661	ENSNLEG00000028415	gene27859	ENSG00000283071-1032-P	
Homo_sapiens	ENSG00000177688	ENSG00000177688-806-P	ENSMMUG00000040011	ENSNLEG00000029172	gene14593	gene_SUMO4	
Homo_sapiens	ENSG00000173918	ENSGGOG00000011197_6694_M	ENSMMUG00000009504	ENSNLEG00000000146	gene32565	gene_C1QTNF1	
Homo_sapiens	ENSG00000179361	ENSGGOG00000001766_12976_P	ENSMMUG00000001568	ENSNLEG00000014530	gene28905	gene_ARID3B	
Homo_sapiens	ENSG00000185304	-	-	-	gene4820	gene_LOC112131774	
Homo_sapiens	ENSG00000044524	ENSG00000044524_828_P	ENSMMUG00000008242	ENSNLEG00000011707	gene7572	gene_EPHA3	
Homo_sapiens	ENSG00000066279	ENSGGOG00000025635_12190_M	ENSMMUG00000000245	ENSNLEG00000018055	gene3000	gene_ASPM	
Homo_sapiens	ENSG00000197142	ENSGGOG00000004598_12355_P	ENSMMUG00000001155	ENSNLEG00000015730	gene21206	gene_ACSL5	
Homo_sapiens	ENSG00000285880	ENSG00000285880-721-P	-	ENSG00000285880-1230-M	ENSG00000285880-1186-M	ENSG00000285880-1256-M	
Homo_sapiens	ENSG00000197965	-	ENSMMUG00000009184	ENSNLEG00000014817	gene2680	gene_MPZL1	
Homo_sapiens	ENSG00000189077	-	ENSMMUG00000020087	ENSNLEG00000008492	gene15755	gene_TMEM120A	
Homo_sapiens	ENSG00000062725	ENSGGOG00000008922_9198_P	ENSMMUG00000016566	ENSNLEG00000000368	gene32210	gene_APPBP2	
Homo_sapiens	ENSG00000285777	ENSG00000285777-723-M	ENSG00000285777-1187-P	ENSG00000285777-1232-P	ENSG00000285777-1188-M	ENSG00000285777-1257-P	
Homo_sapiens	ENSG00000239306	ENSG00000239306_836_P	ENSMMUG00000020363	ENSNLEG00000006197	gene22775	gene_RBM14	
Homo_sapiens	ENSG00000137142	ENSG00000137142_837_P	ENSG00000137142-1096-P	ENSNLEG00000003493	gene18831	gene_IGFBPL1	
Homo_sapiens	ENSG00000125815	ENSGGOG00000006139_157_P	ENSMMUG00000016489	ENSNLEG00000011607	gene35710	gene_CST8	
Homo_sapiens	ENSG00000117697	ENSGGOG00000003473_3226_M	ENSMMUG00000019287	ENSNLEG00000002951	gene3289	gene_NSL1	
Homo_sapiens	ENSG00000072163	-	ENSMMUG00000004179	ENSNLEG00000015736	gene5284	gene_LIMS2	
Homo_sapiens	ENSG00000138286	ENSGGOG00000015033_20784_M	ENSMMUG00000011281	ENSNLEG00000016575	gene20673	gene_FAM149B1	
Homo_sapiens	ENSG00000163064	-	ENSG00000163064-1104-P	ENSNLEG00000011874	gene5213	gene_EN1	
Homo_sapiens	ENSG00000189221	ENSGGOG00000008930_2614_P	ENSMMUG00000019489	ENSNLEG00000002271	gene38080	gene_MAOA	
Homo_sapiens	ENSG00000143702	ENSGGOG00000043649_3050_M	ENSMMUG00000019914	ENSNLEG00000003866	gene3691	gene_CEP170	
Homo_sapiens	ENSG00000129988	ENSGGOG00000007540_20845_P	ENSMMUG00000007563	ENSNLEG00000006353	gene35976	gene_LBP	
Homo_sapiens	ENSG00000106560	ENSG00000106560_845_P	ENSMMUG00000017008	ENSNLEG00000003839	gene16785	gene_GIMAP2	
Homo_sapiens	ENSG00000160785	ENSG00000160785_846_P	ENSMMUG00000004902	ENSNLEG00000012408	gene2391	gene_SLC25A44	
Homo_sapiens	ENSG00000172215	ENSGGOG00000004785_1285_P	ENSMMUG00000023587	ENSG00000172215-1099-M	gene7078	gene_CXCR6	
Homo_sapiens	ENSG00000198728	ENSG00000198728_849_M	ENSMMUG00000009375	ENSNLEG00000014982	gene21089	gene_LDB1	
Homo_sapiens	ENSG00000214113	ENSGGOG00000034970_11541_M	ENSMMUG00000005467	ENSNLEG00000011472	gene12632	gene_LYRM4	
Homo_sapiens	ENSG00000185897	ENSG00000185897-841-P	ENSG00000185897-1117-P	ENSNLEG00000011168	gene34361	gene_FFAR3	
Homo_sapiens	ENSG00000196236	ENSG00000196236_852_P	ENSMMUG00000004067	ENSNLEG00000029969	gene37501	gene_XPNPEP3	
Homo_sapiens	ENSG00000164535	ENSGGOG00000003364_1713_M	ENSMMUG00000010292	ENSNLEG00000015668	gene14976	gene_DAGLB	
Homo_sapiens	ENSG00000115616	ENSGGOG00000016491_9216_P	ENSMMUG00000004165	ENSNLEG00000014699	gene5132	gene_SLC9A2	
Homo_sapiens	ENSG00000160209	ENSG00000160209_856_P	ENSMMUG00000012300	ENSNLEG00000001565	gene36809	gene_PDXK	
Homo_sapiens	ENSG00000197591	-	ENSMMUG00000006214	ENSG00000197591-1113-P	gene3772	gene_LOC100456643	
Homo_sapiens	ENSG00000205670	ENSG00000205670-845-P	ENSMMUG00000019540	ENSNLEG00000018516	gene36666	gene_SMIM11A	
Homo_sapiens	ENSG00000142405	ENSGGOG00000008880_1799_M	ENSMMUG00000020393	ENSNLEG00000006179	gene35158	gene_NLRP12	
Homo_sapiens	ENSG00000173153	ENSG00000173153_859_P	ENSMMUG00000017803	ENSNLEG00000004971	gene22646	gene_ESRRA	
Homo_sapiens	ENSG00000260314	ENSG00000260314_860_P	ENSMMUG00000011620	ENSNLEG00000001315	gene20106	gene_MRC1	
Homo_sapiens	ENSG00000185686	ENSGGOG00000012263_16123_M	ENSMMUG00000010657	ENSNLEG00000015452	gene37070	gene_LOC100447677	
